temperature,humidity,pressure,wind_speed,wind_direction,rain,cloudiness,description,condition_type,label
24.38,93,1010,1.54,200,0.0,72,0,0,aman
24.41,93,1011,1.32,201,0.0,55,0,0,aman
24.34,92,1010,1.47,207,0.0,60,0,0,aman
24.31,92,1009,1.53,213,0.0,61,0,0,aman
23.97,95,1009,1.61,212,0.0,59,0,0,aman
23.5,96,1008,1.15,202,0.0,31,1,0,aman
23.4,97,1008,1.03,199,0.0,24,2,0,aman
23.23,97,1008,1.12,213,0.0,22,2,0,aman
23.1,97,1009,1.24,220,0.0,40,1,0,aman
22.92,97,1009,0.94,231,0.0,53,0,0,aman
24.72,90,1010,1.44,229,0.0,51,0,0,aman
27.02,79,1011,2.18,212,0.0,51,0,0,aman
29.5,67,1011,2.58,209,0.0,26,1,0,aman
31.28,56,1010,2.97,211,0.0,43,1,0,aman
32.6,49,1009,3.13,206,0.0,52,0,0,aman
33.5,45,1008,3.19,202,0.0,44,1,0,aman
34.06,43,1007,3.39,198,0.0,41,1,0,aman
33.51,43,1006,3.9,190,0.0,30,1,0,aman
32.98,44,1006,3.42,190,0.0,99,3,0,aman
32.47,47,1006,2.48,180,0.0,57,0,0,aman
30.04,58,1006,2.47,170,0.0,67,0,0,aman
26.84,74,1007,2.08,172,0.0,55,0,0,aman
25.32,84,1008,1.49,183,0.0,49,1,0,aman
24.53,87,1009,1.18,201,0.0,51,0,0,aman
24.15,90,1010,0.91,209,0.0,74,0,0,aman
23.93,92,1010,0.92,204,0.0,68,0,0,aman
23.83,93,1010,0.78,221,0.0,55,0,0,aman
23.68,95,1009,0.76,216,0.0,45,1,0,aman
23.51,96,1008,0.94,211,0.0,45,1,0,aman
23.38,97,1008,1.02,203,0.0,45,1,0,aman
23.6,96,1008,0.98,205,0.0,94,3,0,aman
23.75,95,1008,0.99,191,0.0,97,3,0,aman
23.75,94,1009,0.79,200,0.0,98,3,0,aman
23.57,94,1009,0.88,197,0.0,99,3,0,aman
24.84,90,1010,0.62,229,0.0,99,3,0,aman
26.56,84,1011,1.18,226,0.0,99,3,0,aman
29.14,71,1010,1.64,211,0.0,100,3,0,aman
31.05,60,1010,1.91,205,0.0,100,3,0,aman
32.4,54,1009,2.4,197,0.0,98,3,0,aman
32.68,52,1008,3.09,191,0.0,96,3,0,aman
32.76,51,1007,2.71,190,0.0,95,3,0,aman
33.34,48,1005,2.08,188,0.0,97,3,0,aman
32.64,51,1005,2.48,176,0.0,98,3,0,aman
31.37,58,1005,2.44,164,0.0,99,3,0,aman
29.05,68,1005,2.16,158,0.0,99,3,0,aman
26.58,79,1006,1.63,149,0.0,99,3,0,aman
25.18,86,1007,1.28,165,0.0,91,3,0,aman
24.63,87,1008,1.3,172,0.0,99,3,0,aman
24.43,88,1009,1.18,181,0.0,100,3,0,aman
24.25,91,1009,1.11,191,0.0,96,3,0,aman
24.02,93,1009,1.08,178,0.0,72,0,0,aman
23.9,94,1008,0.98,188,0.0,75,0,0,aman
23.75,95,1007,0.95,193,0.0,76,0,0,aman
23.37,94,1007,1.1,191,0.0,63,0,0,aman
23.31,95,1007,1.07,195,0.0,44,1,0,aman
23.25,96,1007,0.95,184,0.0,29,1,0,aman
23.21,97,1008,0.89,189,0.0,22,2,0,aman
23.22,97,1009,0.95,195,0.0,22,2,0,aman
25.18,89,1010,1.13,197,0.13,26,4,1,aman
27.74,78,1010,1.69,198,0.0,61,0,0,aman
29.79,67,1011,1.83,199,0.18,77,4,1,aman
31.37,57,1010,2.26,193,0.0,72,0,0,aman
32.81,51,1009,2.34,194,0.0,59,0,0,aman
33.77,48,1008,2.4,189,0.0,55,0,0,aman
33.88,47,1006,2.93,182,0.0,61,0,0,aman
34.41,45,1005,2.99,179,0.0,39,1,0,aman
33.02,51,1005,2.95,174,0.0,80,0,0,aman
31.88,56,1005,2.95,171,0.0,69,0,0,aman
30.08,64,1006,2.87,170,0.0,54,0,0,aman
27.49,74,1007,2.39,168,0.0,46,1,0,aman
25.87,83,1008,1.64,174,0.0,41,1,0,aman
24.95,88,1009,0.81,156,0.0,36,1,0,aman
24.49,90,1009,0.91,184,0.0,52,0,0,aman
24.28,92,1010,0.64,154,0.0,67,0,0,aman
24.07,94,1010,0.58,176,0.11,78,4,1,aman
23.68,96,1009,0.79,178,0.79,83,4,1,aman
23.61,98,1008,1.2,178,0.11,85,4,1,aman
23.78,97,1008,1.47,174,0.0,81,0,0,aman
23.66,98,1008,1.32,177,0.0,65,0,0,aman
23.49,99,1008,1.11,204,0.24,78,4,1,aman
23.11,99,1009,0.72,233,0.83,85,4,1,aman
23.11,99,1010,0.95,236,0.64,89,4,1,aman
24.31,96,1011,0.99,240,0.0,91,3,0,aman
26.25,88,1011,1.43,223,0.0,81,0,0,aman
28.89,74,1011,1.67,221,0.0,100,3,0,aman
