"id","city","temperature","humidity","pressure","wind_speed","wind_direction","rain","snow","cloudiness","visibility","description","condition_type","timestamp"
"3","Samarinda","24.38","93","1010","1.54","200","0","0","72","10000","broken clouds","Clouds","2024-10-25 13:09:08"
"4","Samarinda","24.41","93","1011","1.32","201","0","0","55","10000","broken clouds","Clouds","2024-10-25 14:09:08"
"5","Samarinda","24.34","92","1010","1.47","207","0","0","60","10000","broken clouds","Clouds","2024-10-25 15:09:08"
"6","Samarinda","24.31","92","1009","1.53","213","0","0","61","10000","broken clouds","Clouds","2024-10-25 16:09:08"
"7","Samarinda","23.97","95","1009","1.61","212","0","0","59","10000","broken clouds","Clouds","2024-10-25 17:09:08"
"8","Samarinda","23.5","96","1008","1.15","202","0","0","31","10000","scattered clouds","Clouds","2024-10-25 18:09:08"
"9","Samarinda","23.4","97","1008","1.03","199","0","0","24","10000","few clouds","Clouds","2024-10-25 19:09:08"
"10","Samarinda","23.23","97","1008","1.12","213","0","0","22","10000","few clouds","Clouds","2024-10-25 20:09:08"
"11","Samarinda","23.1","97","1009","1.24","220","0","0","40","10000","scattered clouds","Clouds","2024-10-25 21:09:08"
"12","Samarinda","22.92","97","1009","0.94","231","0","0","53","10000","broken clouds","Clouds","2024-10-25 22:09:08"
"13","Samarinda","24.72","90","1010","1.44","229","0","0","51","10000","broken clouds","Clouds","2024-10-25 23:09:08"
"14","Samarinda","27.02","79","1011","2.18","212","0","0","51","10000","broken clouds","Clouds","2024-10-26 00:09:08"
"15","Samarinda","29.5","67","1011","2.58","209","0","0","26","10000","scattered clouds","Clouds","2024-10-26 01:09:08"
"16","Samarinda","31.28","56","1010","2.97","211","0","0","43","10000","scattered clouds","Clouds","2024-10-26 02:09:08"
"17","Samarinda","32.6","49","1009","3.13","206","0","0","52","10000","broken clouds","Clouds","2024-10-26 03:09:08"
"18","Samarinda","33.5","45","1008","3.19","202","0","0","44","10000","scattered clouds","Clouds","2024-10-26 04:09:08"
"19","Samarinda","34.06","43","1007","3.39","198","0","0","41","10000","scattered clouds","Clouds","2024-10-26 05:09:09"
"20","Samarinda","33.51","43","1006","3.9","190","0","0","30","10000","scattered clouds","Clouds","2024-10-26 06:09:08"
"21","Samarinda","32.98","44","1006","3.42","190","0","0","99","10000","overcast clouds","Clouds","2024-10-26 07:09:08"
"22","Samarinda","32.47","47","1006","2.48","180","0","0","57","10000","broken clouds","Clouds","2024-10-26 08:09:08"
"23","Samarinda","30.04","58","1006","2.47","170","0","0","67","10000","broken clouds","Clouds","2024-10-26 09:09:09"
"24","Samarinda","26.84","74","1007","2.08","172","0","0","55","10000","broken clouds","Clouds","2024-10-26 10:09:09"
"25","Samarinda","25.32","84","1008","1.49","183","0","0","49","10000","scattered clouds","Clouds","2024-10-26 11:09:09"
"26","Samarinda","24.53","87","1009","1.18","201","0","0","51","10000","broken clouds","Clouds","2024-10-26 12:09:08"
"27","Samarinda","24.15","90","1010","0.91","209","0","0","74","10000","broken clouds","Clouds","2024-10-26 13:09:08"
"28","Samarinda","23.93","92","1010","0.92","204","0","0","68","10000","broken clouds","Clouds","2024-10-26 14:09:08"
"29","Samarinda","23.83","93","1010","0.78","221","0","0","55","10000","broken clouds","Clouds","2024-10-26 15:09:09"
"30","Samarinda","23.68","95","1009","0.76","216","0","0","45","10000","scattered clouds","Clouds","2024-10-26 16:09:09"
"31","Samarinda","23.51","96","1008","0.94","211","0","0","45","10000","scattered clouds","Clouds","2024-10-26 17:09:09"
"32","Samarinda","23.38","97","1008","1.02","203","0","0","45","10000","scattered clouds","Clouds","2024-10-26 18:09:09"
"33","Samarinda","23.6","96","1008","0.98","205","0","0","94","10000","overcast clouds","Clouds","2024-10-26 19:09:08"
"34","Samarinda","23.75","95","1008","0.99","191","0","0","97","10000","overcast clouds","Clouds","2024-10-26 20:09:09"
"35","Samarinda","23.75","94","1009","0.79","200","0","0","98","10000","overcast clouds","Clouds","2024-10-26 21:09:08"
"36","Samarinda","23.57","94","1009","0.88","197","0","0","99","10000","overcast clouds","Clouds","2024-10-26 22:09:08"
"37","Samarinda","24.84","90","1010","0.62","229","0","0","99","10000","overcast clouds","Clouds","2024-10-26 23:09:09"
"38","Samarinda","26.56","84","1011","1.18","226","0","0","99","10000","overcast clouds","Clouds","2024-10-27 00:09:08"
"39","Samarinda","29.14","71","1010","1.64","211","0","0","100","10000","overcast clouds","Clouds","2024-10-27 01:09:09"
"40","Samarinda","31.05","60","1010","1.91","205","0","0","100","10000","overcast clouds","Clouds","2024-10-27 02:09:09"
"41","Samarinda","32.4","54","1009","2.4","197","0","0","98","10000","overcast clouds","Clouds","2024-10-27 03:09:08"
"42","Samarinda","32.68","52","1008","3.09","191","0","0","96","10000","overcast clouds","Clouds","2024-10-27 04:09:09"
"43","Samarinda","32.76","51","1007","2.71","190","0","0","95","10000","overcast clouds","Clouds","2024-10-27 05:09:09"
"44","Samarinda","33.34","48","1005","2.08","188","0","0","97","10000","overcast clouds","Clouds","2024-10-27 06:09:09"
"45","Samarinda","32.64","51","1005","2.48","176","0","0","98","10000","overcast clouds","Clouds","2024-10-27 07:09:09"
"46","Samarinda","31.37","58","1005","2.44","164","0","0","99","10000","overcast clouds","Clouds","2024-10-27 08:09:09"
"47","Samarinda","29.05","68","1005","2.16","158","0","0","99","10000","overcast clouds","Clouds","2024-10-27 09:09:09"
"48","Samarinda","26.58","79","1006","1.63","149","0","0","99","10000","overcast clouds","Clouds","2024-10-27 10:09:09"
"49","Samarinda","25.18","86","1007","1.28","165","0","0","91","10000","overcast clouds","Clouds","2024-10-27 11:09:09"
"50","Samarinda","24.63","87","1008","1.3","172","0","0","99","10000","overcast clouds","Clouds","2024-10-27 12:09:09"
"51","Samarinda","24.43","88","1009","1.18","181","0","0","100","10000","overcast clouds","Clouds","2024-10-27 13:09:09"
"52","Samarinda","24.25","91","1009","1.11","191","0","0","96","10000","overcast clouds","Clouds","2024-10-27 14:09:09"
"53","Samarinda","24.02","93","1009","1.08","178","0","0","72","10000","broken clouds","Clouds","2024-10-27 15:09:09"
"54","Samarinda","23.9","94","1008","0.98","188","0","0","75","10000","broken clouds","Clouds","2024-10-27 16:09:09"
"55","Samarinda","23.75","95","1007","0.95","193","0","0","76","10000","broken clouds","Clouds","2024-10-27 17:09:08"
"56","Samarinda","23.37","94","1007","1.1","191","0","0","63","10000","broken clouds","Clouds","2024-10-27 18:09:08"
"57","Samarinda","23.31","95","1007","1.07","195","0","0","44","10000","scattered clouds","Clouds","2024-10-27 19:09:08"
"58","Samarinda","23.25","96","1007","0.95","184","0","0","29","10000","scattered clouds","Clouds","2024-10-27 20:09:08"
"59","Samarinda","23.21","97","1008","0.89","189","0","0","22","10000","few clouds","Clouds","2024-10-27 21:09:08"
"60","Samarinda","23.22","97","1009","0.95","195","0","0","22","10000","few clouds","Clouds","2024-10-27 22:09:08"
"61","Samarinda","25.18","89","1010","1.13","197","0.13","0","26","10000","light rain","rain","2024-10-27 23:09:08"
"62","Samarinda","27.74","78","1010","1.69","198","0","0","61","10000","broken clouds","Clouds","2024-10-28 00:09:08"
"63","Samarinda","29.79","67","1011","1.83","199","0.18","0","77","10000","light rain","rain","2024-10-28 01:09:08"
"64","Samarinda","31.37","57","1010","2.26","193","0","0","72","10000","broken clouds","Clouds","2024-10-28 02:09:08"
"65","Samarinda","32.81","51","1009","2.34","194","0","0","59","10000","broken clouds","Clouds","2024-10-28 03:09:08"
"66","Samarinda","33.77","48","1008","2.4","189","0","0","55","10000","broken clouds","Clouds","2024-10-28 04:09:08"
"67","Samarinda","33.88","47","1006","2.93","182","0","0","61","10000","broken clouds","Clouds","2024-10-28 05:09:08"
"68","Samarinda","34.41","45","1005","2.99","179","0","0","39","10000","scattered clouds","Clouds","2024-10-28 06:09:08"
"69","Samarinda","33.02","51","1005","2.95","174","0","0","80","10000","broken clouds","Clouds","2024-10-28 07:09:08"
"70","Samarinda","31.88","56","1005","2.95","171","0","0","69","10000","broken clouds","Clouds","2024-10-28 08:09:08"
"71","Samarinda","30.08","64","1006","2.87","170","0","0","54","10000","broken clouds","Clouds","2024-10-28 09:09:08"
"72","Samarinda","27.49","74","1007","2.39","168","0","0","46","10000","scattered clouds","Clouds","2024-10-28 10:09:09"
"73","Samarinda","25.87","83","1008","1.64","174","0","0","41","10000","scattered clouds","Clouds","2024-10-28 11:09:08"
"74","Samarinda","24.95","88","1009","0.81","156","0","0","36","10000","scattered clouds","Clouds","2024-10-28 12:09:08"
